As of 2022-01-16,1,2,3,4,5
RHPL,44,34,10,,
RHPL,44,6,252,,
SPC,14,58,20,,
SJCL,25,56,40,,
PRVU,39,20,10,,
SBL,47,16,60,,
PRVU,22,20,290,,
PRVU,22,14,210,,
JLI,48,10,10,,
HDL,10,37,10,,
NCCB,41,16,20,,
DDBL,20,29,82,,
DDBL,20,33,100,,
DDBL,20,42,48,,
DDBL,20,54,25,,
DDBL,20,1,45,,
GIC,39,50,18,,
MFIL,42,34,30,,
MFIL,42,38,70,,
AKPL,35,49,150,,
AKJCL,44,59,30,,
EDBL,40,44,470,,
EDBL,40,3,30,,
RMDC,43,42,17,,
RMDC,43,50,100,,
RMDC,43,26,33,,
RMDC,43,49,50,,
RMDC,43,59,50,,
RMDC,43,14,50,,
RMDC,43,49,100,,
RMDC,43,6,100,,
ULI,8,45,10,,
MBJC,59,45,10,,
JBLB,39,29,20,,
JBLB,39,42,10,,
JBLB,39,45,20,,
NLIC,49,8,24,,
TPC,41,4,10,,
PCBL,36,45,50,,
NIFRA,49,7,49,,
NIFRA,49,35,10,,
NIFRA,49,45,100,,
NIFRA,49,41,50,,
NIFRA,49,48,100,,
NIFRA,49,48,100,,
NIFRA,49,48,100,,
NIFRA,49,37,20,,
NIFRA,49,58,50,,
NIFRA,49,59,50,,
NIFRA,49,45,100,,
NIFRA,49,26,50,,
NIFRA,49,58,20,,
NIFRA,49,58,50,,
NIFRA,49,1,61,,
NIFRA,49,34,50,,
NIFRA,49,14,40,,
NLICL,49,8,238,,
NMB,35,49,93,,
NIL,36,45,28,,
NUBL,46,41,50,,
NTC,46,42,300,,
NTC,46,45,20,,
NTC,46,14,25,,
NHPC,57,49,100,,
RSDC,35,4,30,,
SFCL,48,37,160,,
SLI,49,45,10,,
DHPL,10,56,150,,
NHPC,56,3,200,,
MMF1,44,42,500,,
GRDBL,11,59,31,,
MMF1,44,17,100,,
GRDBL,29,59,15,,
MMF1,44,52,400,,
GUFL,8,28,150,,
API,35,26,34,,
API,35,49,16,,
NUBL,28,41,30,,
MNBBL,1,50,125,,
MNBBL,1,36,175,,
NRN,48,53,334,,
CHL,6,34,50,,
CHL,56,34,150,,
NMB50,32,54,1000,,
API,4,57,50,,
SGI,14,53,100,,
SGI,14,22,10,,
SGI,14,33,10,,
SGI,14,51,10,,
SGI,14,55,10,,
SGI,14,51,10,,
SGI,14,19,10,,
SGI,14,46,10,,
SGI,14,35,20,,
ULI,8,21,10,,
GUFL,39,28,50,,
SPC,14,29,10,,
SPC,44,41,10,,
NLIC,21,42,5,,
MBL,33,14,65,,
MEGA,19,40,333,,
NMB,22,13,10,,
AHPC,56,16,150,,
AHPC,56,28,300,,
AHPC,56,50,100,,
AHPC,56,48,50,,
AHPC,56,59,40,,
AHPC,56,21,20,,
AHPC,56,32,50,,
AHPC,56,51,90,,
AKPL,43,54,500,,
AKPL,19,54,50,,
SPDL,34,29,100,,
SSHL,8,57,40,,
GHL,42,39,950,,
MBL,46,14,30,,
UPPER,57,43,60,,
NYADI,41,38,10,,
SHL,32,26,100,,
ADBL,52,50,400,,
ADBL,52,39,15,,
NMFBS,57,33,10,,
NMFBS,22,33,44,,
NMFBS,22,33,44,,
PRVU,39,14,40,,
GUFL,49,28,10,,
NIFRA,53,14,10,,
JBLB,39,45,20,,
JBLB,39,7,10,,
JBLB,39,49,10,,
JBLB,39,56,10,,
HDHPC,52,45,100,,
HDL,35,50,10,,
HDL,28,50,10,,
JLI,7,21,10,,
SSHL,41,57,200,,
SANIMA,6,19,60,,
AHPC,56,14,500,,
KSBBL,14,D01,110,,
SFCL,56,37,40,,
AHPC,56,39,115,,
SPC,44,10,10,,
RHPL,44,6,218,,
RHPL,44,7,570,,
RHPL,44,41,212,,
LBL,38,5,60,,
AHPC,56,51,800,,
PRVU,13,14,200,,
UPPER,48,43,50,,
SPDL,34,37,25,,
SAHAS,4,56,10,,
BARUN,10,45,30,,
RSDC,50,47,222,,
GBBL,35,26,33,,
ACLBSL,33,41,20,,
ACLBSL,33,41,100,,
ACLBSL,44,41,200,,
ACLBSL,45,41,120,,
ACLBSL,52,41,20,,
ACLBSL,34,41,10,,
ACLBSL,42,41,30,,
AHPC,56,49,40,,
PLI,16,51,10,,
KSBBL,59,D01,250,,
KSBBL,59,47,50,,
NABIL,16,25,165,,
NABIL,16,45,85,,
NYADI,41,7,10,,
PRVU,22,14,50,,
PRVU,22,13,150,,
GIC,39,50,32,,
HURJA,32,55,20,,
NIL,44,52,160,,
BFC,42,17,50,,
CGH,42,52,50,,
NICLBSL,39,38,40,,
CGH,42,52,50,,
NICLBSL,39,49,10,,
HIDCL,33,20,200,,
CBL,21,6,50,,
NABIL,22,45,15,,
NABIL,22,17,35,,
KBL,29,36,30,,
SAHAS,4,55,10,,
NFS,57,38,268,,
NFS,6,38,90,,
SSHL,26,57,200,,
NIFRA,49,1,89,,
NIFRA,49,26,400,,
NIFRA,49,34,50,,
NIFRA,49,14,100,,
NIFRA,49,34,100,,
NIFRA,49,17,430,,
NIFRA,49,25,10,,
NIFRA,49,45,25,,
NIFRA,49,41,200,,
NIFRA,49,32,100,,
NIFRA,49,8,300,,
NIFRA,49,49,196,,
SHIVM,43,53,100,,
PMHPL,4,34,50,,
JFL,28,26,50,,
SAEF,32,22,1000,,
SAEF,32,32,1000,,
SAEF,32,49,2000,,
SAEF,32,41,500,,
SAEF,32,54,1000,,
SAEF,32,58,1000,,
AHPC,56,51,610,,
AHPC,56,14,190,,
SDLBSL,25,16,89,,
SDLBSL,25,13,20,,
SDLBSL,25,32,11,,
SDLBSL,25,43,19,,
SDLBSL,25,34,11,,
SDLBSL,25,49,10,,
SDLBSL,25,20,20,,
SDLBSL,25,39,20,,
AHPC,3,14,10,,
HDL,49,40,25,,
NFS,6,41,10,,
NLIC,49,7,50,,
CHCL,14,35,100,,
CHCL,35,35,17,,
NGPL,36,45,60,,
NGPL,6,45,100,,
NGPL,34,45,50,,
SFCL,56,18,10,,
SFCL,21,18,190,,
HIDCL,42,14,21,,
HIDCL,57,14,29,,
NIFRA,6,49,10,,
PCBL,36,38,100,,
PCBL,6,38,100,,
NLIC,49,45,35,,
NLIC,22,45,50,,
NLIC,57,45,100,,
NLIC,50,45,25,,
NLIC,42,45,20,,
NTC,17,42,14,,
NTC,17,40,250,,
NTC,17,59,10,,
NTC,17,53,500,,
NTC,17,49,20,,
NTC,17,21,20,,
NTC,17,25,50,,
NTC,17,42,45,,
NTC,17,3,91,,
CBL,16,43,100,,
MLBL,38,22,10,,
FMDBL,21,43,100,,
SSHL,14,40,60,,
SLI,37,52,300,,
SLI,55,52,180,,
SLI,26,52,40,,
MFIL,48,42,50,,
NRN,48,51,10,,
HDL,1,36,10,,
SAHAS,4,36,10,,
NICL,45,34,100,,
SHIVM,43,57,10,,
AIL,33,40,160,,
AIL,35,40,20,,
AIL,57,40,20,,
SLI,26,41,10,,
GBBL,57,6,150,,
CZBIL,4,34,20,,
MKJC,51,11,150,,
NGPL,38,48,50,,
UMHL,35,28,42,,
UMHL,35,6,50,,
UMHL,35,34,400,,
UMHL,35,42,130,,
UMHL,35,35,100,,
UMHL,35,49,45,,
UMHL,35,20,200,,
UMHL,35,58,33,,
HDL,17,42,20,,
NIFRA,52,49,20,,
PLI,13,33,20,,
SHEL,41,49,10,,
API,48,49,100,,
API,49,49,100,,
NTC,58,22,975,,
AHPC,56,22,500,,
NTC,59,22,25,,
NIFRA,35,49,100,,
SPDL,34,38,223,,
SPDL,29,38,90,,
SPDL,59,38,44,,
ACLBSL,26,45,45,,
ACLBSL,26,57,21,,
ACLBSL,26,21,20,,
ACLBSL,26,32,10,,
ACLBSL,26,29,24,,
ACLBSL,26,5,10,,
RADHI,28,44,26,,
RADHI,28,21,50,,
RADHI,28,34,78,,
RADHI,28,25,100,,
RADHI,28,38,100,,
RADHI,28,14,136,,
RADHI,28,41,10,,
JBLB,7,50,10,,
JBLB,7,19,25,,
RLI,8,26,10,,
NABIL,57,17,15,,
TPC,20,21,10,,
JBLB,7,35,10,,
SPDL,10,37,237,,
ICFC,17,42,220,,
ICFC,17,38,240,,
ICFC,17,34,40,,
TPC,32,41,47,,
TPC,39,41,90,,
JFL,4,51,100,,
DDBL,20,1,155,,
DDBL,20,25,100,,
DDBL,20,6,45,,
RLI,8,55,10,,
GMFBS,16,35,199,,
GMFBS,58,35,10,,
GIC,39,51,10,,
GUFL,42,28,10,,
UPPER,42,51,52,,
HIDCL,57,22,20,,
MLBL,3,42,35,,
MLBL,3,35,65,,
NSLB,57,41,40,,
SPDL,10,29,50,,
RMDC,1,6,100,,
CHCL,38,16,100,,
UPPER,42,42,48,,
NYADI,41,55,10,,
API,49,26,700,,
API,49,34,40,,
API,49,13,60,,
CCBL,8,57,30,,
API,49,35,200,,
NIFRA,41,51,60,,
NICBF,4,34,5000,,
UIC,35,54,267,,
UIC,35,58,500,,
UIC,35,44,20,,
UIC,35,44,500,,
UIC,35,13,213,,
SAPDBL,49,13,100,,
ACLBSL,42,41,50,,
DDBL,20,50,10,,
HIDCL,57,42,10,,
HIDCL,52,42,90,,
MFIL,49,42,50,,
KSBBL,14,6,190,,
AKPL,8,34,188,,
AKPL,8,14,12,,
AHPC,56,50,500,,
RHPL,44,41,568,,
RHPL,44,57,50,,
RHPL,44,54,882,,
RHPL,44,14,500,,
BARUN,10,45,70,,
BARUN,26,45,80,,
BARUN,34,45,50,,
MHNL,42,52,10,,
RLFL,4,49,11,,
KSBBL,22,1,35,,
KSBBL,53,1,65,,
MBL,47,59,35,,
NABIL,14,36,190,,
NABIL,19,36,10,,
DDBL,20,6,204,,
DDBL,20,25,20,,
DDBL,20,6,76,,
UNHPL,29,21,100,,
HDHPC,45,7,410,,
HDHPC,45,16,90,,
LBBL,32,25,21,,
CFCL,21,28,175,,
CFCL,54,28,300,,
CFCL,49,28,25,,
MBL,33,36,100,,
SLI,55,10,10,,
HIDCL,52,51,10,,
NBL,44,22,10,,
MBL,13,36,450,,
MBL,13,52,50,,
NSLB,57,41,40,,
MFIL,21,34,62,,
AHPC,56,22,100,,
CHL,20,6,50,,
CHL,34,6,13,,
NABIL,57,17,50,,
TPC,39,28,10,,
UPPER,42,45,87,,
NHPC,38,41,289,,
NHPC,51,41,161,,
NIFRA,52,49,31,,
NICLBSL,54,51,10,,
NICA,25,43,50,,
NICA,21,43,145,,
SINDU,11,57,155,,
HURJA,42,45,430,,
HURJA,42,42,100,,
HURJA,42,3,2000,,
HURJA,42,57,70,,
HURJA,42,45,1312,,
HURJA,42,51,200,,
HURJA,42,58,130,,
HURJA,42,52,10,,
HURJA,42,51,100,,
HURJA,42,46,200,,
HURJA,42,32,150,,
HURJA,42,1,50,,
HURJA,42,43,30,,
HURJA,42,14,2700,,
HURJA,42,51,100,,
HURJA,42,34,200,,
HURJA,42,55,50,,
HURJA,42,29,500,,
HURJA,42,34,20,,
HURJA,42,32,190,,
HURJA,42,20,20,,
HURJA,42,40,700,,
HURJA,42,35,100,,
HURJA,42,11,200,,
HURJA,42,49,70,,
HURJA,42,49,20,,
HURJA,42,57,40,,
HURJA,42,41,10,,
HURJA,42,58,53,,
HURJA,42,45,20,,
HURJA,42,43,500,,
HURJA,42,42,100,,
HURJA,42,57,500,,
HURJA,42,4,260,,
HURJA,42,28,1000,,
HURJA,42,21,120,,
HURJA,42,8,430,,
HURJA,42,58,100,,
HURJA,42,32,50,,
HURJA,42,28,50,,
HURJA,42,17,30,,
HURJA,42,52,500,,
HURJA,42,48,500,,
HURJA,42,19,100,,
HURJA,42,46,100,,
HURJA,42,36,100,,
HURJA,42,14,20,,
HURJA,42,35,50,,
HURJA,42,34,20,,
HURJA,42,45,200,,
HURJA,42,6,447,,
HURJA,42,1,30,,
HURJA,42,56,110,,
HURJA,42,36,100,,
HURJA,42,19,250,,
HURJA,42,6,100,,
HURJA,42,48,500,,
HURJA,42,48,50,,
HURJA,42,52,30,,
HURJA,42,51,50,,
HURJA,42,44,350,,
HURJA,42,42,50,,
HURJA,42,49,10,,
HURJA,42,19,690,,
HURJA,42,40,20,,
HURJA,42,26,500,,
HURJA,42,37,22,,
HURJA,42,35,1000,,
HURJA,42,51,200,,
HURJA,42,40,10,,
NIFRA,49,49,500,,
CBBL,57,44,50,,
CBBL,34,44,50,,
UMHL,45,58,318,,
UMHL,45,50,350,,
UMHL,45,43,200,,
UMHL,45,48,132,,
ULI,45,39,500,,
UPCL,49,25,559,,
UPCL,59,25,200,,
UPCL,28,25,250,,
UPCL,40,25,450,,
UPCL,57,25,500,,
UPCL,20,25,500,,
UPCL,44,25,1300,,
UPCL,44,25,1000,,
UPCL,44,25,75,,
UPCL,44,25,895,,
MEGA,55,40,167,,
MEGA,55,21,35,,
MEGA,55,34,1050,,
MEGA,55,10,100,,
MEGA,55,14,570,,
MEGA,55,21,26,,
MEGA,55,54,400,,
MEGA,55,54,400,,
MEGA,55,49,40,,
MEGA,55,19,500,,
MEGA,55,13,691,,
MEGA,55,45,321,,
ADBL,47,39,85,,
ADBL,47,34,15,,
UPCL,54,25,166,,
HIDCL,57,34,18,,
HIDCL,25,34,100,,
HIDCL,14,34,100,,
CHCL,35,16,73,,
NBF2,43,48,100,,
NBF2,43,57,300,,
NIFRA,41,6,250,,
ALICL,59,38,20,,
RADHI,45,49,10,,
NIFRA,1,49,100,,
SHEL,41,10,10,,
PPCL,59,41,10,,
PPCL,59,35,30,,
IGI,38,7,120,,
IGI,14,7,330,,
MLBL,38,43,61,,
MNBBL,14,40,110,,
MNBBL,14,32,110,,
NHPC,51,42,839,,
NHPC,55,42,25,,
NHPC,58,42,100,,
NHPC,51,42,100,,
NHPC,38,42,101,,
NHPC,59,42,50,,
NHPC,4,42,72,,
NHPC,35,42,300,,
NHPC,25,42,10,,
NHPC,28,42,803,,
NHPC,14,42,1000,,
NHPC,29,42,100,,
NHPC,26,42,500,,
NIL,42,52,200,,
NIFRA,49,49,50,,
IGI,14,3,170,,
GBBL,1,36,100,,
HDL,35,40,10,,
HDL,35,51,10,,
HDL,35,38,10,,
EDBL,44,4,320,,
EDBL,44,4,180,,
NIFRA,14,49,1000,,
NYADI,16,58,10,,
NYADI,16,21,10,,
KSBBL,46,6,100,,
TPC,28,28,100,,
TPC,50,28,350,,
TPC,38,28,40,,
TPC,46,28,90,,
TPC,11,28,15,,
SLI,55,21,10,,
AHPC,39,5,300,,
PFL,1,43,30,,
SLICL,18,49,100,,
SLICL,18,32,100,,
SLICL,18,43,100,,
SLICL,18,51,50,,
SLICL,18,51,110,,
LICN,32,56,30,,
NRIC,53,45,140,,
NRIC,53,41,10,,
NRIC,53,45,50,,
HDL,44,35,20,,
GHL,58,59,30,,
ILBS,26,26,1,,
AHPC,39,34,200,,
AHPC,39,33,50,,
AHPC,39,39,12000,,
AHPC,39,11,100,,
AHPC,39,49,3000,,
AHPC,39,59,200,,
AHPC,39,25,11,,
AHPC,39,8,500,,
AHPC,39,25,350,,
AHPC,39,50,50,,
AHPC,39,22,30,,
AHPC,39,43,25,,
NRIC,11,35,80,,
API,41,13,40,,
UPCL,43,25,1000,,
SWBBL,28,56,50,,
SLI,41,21,10,,
SLI,41,51,10,,
SLI,41,34,10,,
SLI,41,34,10,,
SLI,41,36,10,,
SLI,41,56,10,,
SLI,41,38,10,,
SLI,41,14,100,,
SLI,41,45,10,,
SLI,41,32,10,,
SLI,41,49,10,,
CFCL,45,56,200,,
AHPC,45,51,100,,
AHPC,45,56,30,,
HIDCL,57,47,23,,
CCBL,21,45,284,,
AHPC,45,49,500,,
HIDCL,42,47,24,,
CCBL,38,45,605,,
HIDCL,17,47,53,,
HIDCL,57,47,100,,
RLI,42,56,10,,
RLI,42,17,10,,
HGI,21,35,10,,
SICL,49,22,14,,
NGPL,6,45,200,,
NHPC,57,49,200,,
HDHPC,52,16,90,,
HDHPC,52,45,900,,
GBIME,1,39,20,,
GBIME,1,35,30,,
SICL,22,58,70,,
JOSHI,36,51,942,,
BPCL,33,34,200,,
JBBL,14,10,200,,
SHIVM,20,19,20,,
SHIVM,20,40,50,,
SHIVM,20,56,100,,
SHIVM,20,43,50,,
SHIVM,20,6,180,,
SHIVM,20,59,200,,
JLI,7,21,10,,
JBLB,6,35,10,,
NIFRA,19,49,20,,
NIFRA,34,49,375,,
NIFRA,13,49,410,,
GBBL,1,55,100,,
SDLBSL,59,39,11,,
GLH,49,10,10,,
GHL,8,39,200,,
JBBL,45,26,25,,
LICN,26,26,15,,
API,41,34,50,,
API,41,41,389,,
API,41,32,100,,
API,41,41,69,,
API,41,55,25,,
API,41,38,74,,
HDHPC,49,45,100,,
NYADI,40,52,539,,
NYADI,52,52,990,,
NYADI,45,52,300,,
NYADI,34,52,10,,
NYADI,11,52,30,,
KBL,4,36,50,,
UPCL,44,59,30,,
SAHAS,34,56,10,,
SFCL,21,52,10,,
SHIVM,20,52,20,,
SDLBSL,44,39,36,,
SDLBSL,44,8,11,,
SDLBSL,44,38,11,,
SDLBSL,44,46,10,,
AKPL,45,14,18,,
MBJC,59,45,10,,
HIDCL,17,45,110,,
JFL,5,35,50,,
NLIC,38,41,10,,
NLIC,36,41,64,,
NTC,59,3,25,,
SADBL,55,49,200,,
GRDBL,29,47,16,,
API,48,22,21,,
SPC,11,41,10,,
PCBL,49,14,270,,
PCBL,7,14,50,,
PCBL,34,14,50,,
PCBL,42,14,450,,
LBL,38,33,31,,
SPDL,10,4,13,,
CZBIL,48,34,100,,
NLIC,36,49,86,,
NLIC,33,49,14,,
GUFL,7,28,200,,
NCCB,35,16,100,,
NIFRA,13,46,140,,
FOWAD,19,44,70,,
FOWAD,41,44,10,,
FOWAD,14,44,10,,
SHIVM,20,38,116,,
SHIVM,3,38,44,,
MNBBL,5,32,290,,
MNBBL,5,1,90,,
MNBBL,5,55,320,,
SLI,55,10,10,,
UMHL,57,48,368,,
SRBL,54,44,500,,
SRBL,54,14,500,,
NABIL,35,5,8,,
NABIL,16,5,10,,
RMDC,51,29,200,,
JOSHI,10,43,250,,
JOSHI,10,51,100,,
JOSHI,10,32,150,,
JOSHI,36,35,1000,,
SHPC,49,42,252,,
AKJCL,19,40,100,,
AHPC,39,49,65,,
AHPC,39,19,500,,
AHPC,39,13,500,,
AHPC,39,56,100,,
AHPC,39,43,420,,
AHPC,39,49,30,,
AHPC,39,47,10,,
AHPC,39,45,132,,
AHPC,39,34,100,,
AHPC,39,44,21,,
AHPC,39,22,310,,
AHPC,39,44,1000,,
AHPC,39,45,80,,
AHPC,39,29,300,,
AHPC,39,21,300,,
AHPC,39,47,100,,
AHPC,39,42,300,,
AHPC,39,32,70,,
AHPC,39,34,70,,
HIDCL,17,40,200,,
AHPC,39,43,1000,,
AHPC,39,43,40,,
AHPC,39,1,100,,
AHPC,39,56,60,,
AHPC,39,57,1000,,
AHPC,39,26,35,,
AHPC,39,26,260,,
AHPC,39,21,30,,
AHPC,39,1,500,,
AHPC,39,55,150,,
AHPC,39,4,67,,
AHPC,39,43,210,,
AHPC,39,32,100,,
AHPC,39,42,500,,
AHPC,39,4,100,,
AHPC,39,7,3000,,
AHPC,39,8,500,,
AHPC,39,57,75,,
AHPC,39,35,330,,
AHPC,39,47,100,,
AHPC,39,51,500,,
AHPC,39,35,50,,
AHPC,39,36,200,,
AHPC,39,42,39,,
AHPC,39,49,2381,,
AHPC,39,49,1000,,
AHPC,39,55,400,,
AHPC,39,48,25,,
AHPC,39,34,11,,
AHPC,39,41,110,,
AHPC,39,6,520,,
NIFRA,13,39,200,,
API,48,57,40,,
API,43,57,100,,
API,42,6,20,,
BOKL,29,57,30,,
API,42,41,40,,
VLBS,49,58,125,,
CHL,46,6,60,,
HIDCL,17,26,72,,
JBLB,6,28,10,,
NSLB,50,41,250,,
RHPL,25,19,41,,
RHPL,21,19,459,,
SBL,14,16,262,,
SBL,50,16,200,,
SBL,57,16,38,,
SADBL,34,35,445,,
AKJCL,19,59,50,,
PLI,16,10,10,,
PMHPL,4,49,200,,
NLIC,33,37,36,,
TPC,11,41,30,,
TPC,14,41,50,,
TPC,38,41,10,,
TPC,13,41,10,,
ICFC,21,29,35,,
ICFC,17,29,50,,
ICFC,8,29,15,,
LGIL,35,4,12,,
API,41,45,992,,
ULI,49,19,10,,
NIFRA,13,20,250,,
NIFRA,45,20,250,,
MLBBL,14,17,55,,
MLBBL,14,32,100,,
MLBBL,14,4,10,,
SADBL,34,21,110,,
GUFL,38,28,400,,
IGI,51,3,90,,
IGI,51,38,10,,
SSHL,14,28,15,,
HDL,49,38,10,,
GLICL,48,58,474,,
HDL,55,32,10,,
NABIL,34,17,100,,
SWBBL,16,11,100,,
CLBSL,10,50,10,,
NICA,21,22,14,,
EIC,20,37,48,,
EIC,20,11,32,,
EIC,20,49,10,,
DDBL,20,6,100,,
MBJC,59,45,10,,
LGIL,47,57,200,,
UMHL,57,43,25,,
UMHL,45,50,150,,
UMHL,45,44,50,,
UMHL,45,34,300,,
UMHL,45,45,500,,
SIFC,4,1,300,,
MEGA,43,6,100,,
NLIC,55,37,64,,
NICA,21,56,100,,
NLICL,49,19,100,,
JFL,4,41,100,,
GHL,4,39,100,,
NIFRA,45,49,20,,
TPC,41,10,15,,
SFCL,4,40,40,,
DDBL,20,6,300,,
NRN,48,3,10,,
BPCL,19,17,60,,
PMHPL,4,38,120,,
GMFBS,45,35,77,,
GMFBS,57,35,13,,
GMFBS,34,35,10,,
UMHL,56,58,12,,
AHPC,53,6,400,,
NSLB,26,41,120,,
NSLB,26,46,50,,
GBLBS,44,53,18,,
GBLBS,44,45,182,,
CHDC,44,49,10,,
NIFRA,45,52,30,,
NIFRA,4,52,10,,
NIFRA,51,52,10,,
SHPC,29,42,3000,,
SHPC,57,42,200,,
SHPC,13,42,950,,
SHPC,5,42,700,,
SHPC,16,42,398,,
KSBBL,35,6,160,,
KSBBL,35,56,100,,
SHINE,46,32,100,,
PROFL,10,55,20,,
PROFL,10,52,400,,
PROFL,10,10,70,,
SHEL,41,10,10,,
PROFL,10,34,10,,
AHPC,53,21,50,,
HGI,21,17,90,,
MBL,47,57,148,,
MBL,19,57,52,,
GIC,39,53,40,,
NIFRA,51,49,50,,
NICLBSL,51,34,10,,
AKJCL,19,59,20,,
KBL,4,54,50,,
DDBL,20,6,230,,
DDBL,20,6,70,,
NGPL,57,38,180,,
NGPL,46,38,20,,
GFCL,41,57,18,,
MPFL,50,57,300,,
NLICL,49,59,15,,
BPCL,52,17,51,,
BPCL,47,17,1000,,
BPCL,34,17,949,,
BPCL,26,17,1000,,
SBL,57,36,62,,
SBL,45,36,38,,
CBBL,1,17,20,,
SIL,35,10,20,,
LICN,26,35,20,,
KRBL,14,42,93,,
KRBL,44,42,100,,
KRBL,1,42,100,,
KRBL,29,42,200,,
NMB,4,49,70,,
NMB,45,49,32,,
HIDCL,33,20,90,,
NICSF,4,58,100,,
NYADI,11,49,10,,
PLIC,8,20,180,,
NABIL,19,28,30,,
PLI,16,10,10,,
SAHAS,34,38,10,,
ADBL,28,34,100,,
SHPC,7,7,990,,
SHPC,7,49,1000,,
SHPC,7,45,200,,
SHPC,7,46,100,,
SHPC,7,38,100,,
SHPC,7,29,10,,
SHPC,7,56,100,,
SLI,55,34,10,,
RURU,46,49,10,,
MLBS,56,26,20,,
DDBL,20,6,30,,
DDBL,20,43,120,,
DDBL,20,40,150,,
JBLB,21,57,10,,
SMATA,41,35,15,,
SMATA,41,57,25,,
SMATA,41,26,10,,
NICA,35,48,200,,
RMDC,51,44,100,,
NHPC,44,49,50,,
NICA,6,8,100,,
NRIC,3,45,50,,
SGI,14,45,25,,
SGI,14,58,150,,
SGI,14,35,10,,
SGI,14,52,10,,
SGI,14,19,10,,
SGI,14,45,25,,
UIC,39,38,500,,
NLIC,26,26,1,,
TPC,19,49,10,,
SADBL,34,47,2000,,
SADBL,34,22,100,,
SADBL,34,56,200,,
SADBL,34,25,50,,
SADBL,34,5,10,,
SADBL,34,19,85,,
SWBBL,16,22,17,,
SWBBL,16,38,200,,
SWBBL,16,41,18,,
SWBBL,16,50,29,,
SWBBL,16,58,35,,
SWBBL,16,58,50,,
SWBBL,16,39,24,,
SWBBL,16,44,77,,
SWBBL,16,17,50,,
LEMF,50,22,190,,
CHCL,59,16,100,,
CCBL,38,42,10,,
GUFL,47,28,20,,
GUFL,47,35,30,,
SLI,37,58,10,,
SLI,37,49,10,,
SLI,37,21,10,,
SLI,37,54,50,,
SLI,55,21,10,,
UIC,38,38,500,,
MBJC,59,35,10,,
PRVU,45,13,100,,
CBL,47,19,339,,
CBL,47,21,231,,
CBL,47,1,430,,
NIFRA,51,56,10,,
NIFRA,49,56,15,,
NIFRA,35,56,10,,
NIFRA,56,56,15,,
NYADI,11,17,10,,
GHL,34,39,100,,
NLICL,49,59,50,,
NLICL,49,59,50,,
AHPC,39,6,300,,
MBL,14,36,900,,
MBL,14,1,100,,
SFCL,48,52,90,,
SFCL,48,43,10,,
SFCL,48,45,200,,
SHINE,48,21,100,,
SHL,41,25,100,,
SHL,41,1,100,,
HDL,50,22,20,,
CHL,34,50,20,,
FMDBL,45,43,60,,
SIFC,57,1,100,,
CBL,13,1,70,,
DHPL,10,56,600,,
SICL,14,58,10,,
NLICL,49,36,200,,
NLICL,49,6,50,,
LEC,36,59,60,,
MBL,47,49,17,,
GUFL,26,35,20,,
NLIC,26,26,1,,
SICL,32,58,200,,
RHPL,49,52,200,,
CBL,21,13,20,,
SADBL,38,14,50,,
NLG,41,16,11,,
MERO,42,44,30,,
MERO,59,44,73,,
GUFL,47,35,20,,
NICA,6,25,50,,
CBBL,22,17,10,,
CBBL,46,17,50,,
CBBL,34,17,30,,
CBBL,38,17,12,,
JLI,7,46,10,,
ALICL,59,33,55,,
ALICL,25,33,20,,
GUFL,38,35,30,,
NIFRA,56,45,185,,
NIFRA,46,45,15,,
PRVU,18,13,150,,
NBL,44,47,250,,
HDHPC,16,16,120,,
NGPL,46,55,20,,
MNBBL,26,55,50,,
GUFL,38,45,20,,
UMHL,57,40,14,,
UMHL,57,34,593,,
BFC,42,45,200,,
LICN,25,56,30,,
JOSHI,36,45,10,,
JOSHI,36,21,20,,
JOSHI,36,45,10,,
JOSHI,36,21,20,,
JOSHI,36,21,20,,
JOSHI,36,33,50,,
JOSHI,36,7,10,,
JOSHI,36,34,10,,
JOSHI,36,49,20,,
JOSHI,36,57,50,,
JOSHI,36,16,150,,
JOSHI,36,3,100,,
JOSHI,36,33,100,,
JOSHI,36,42,10,,
JOSHI,36,49,78,,
JOSHI,36,49,20,,
JOSHI,36,49,100,,
JOSHI,36,58,60,,
JOSHI,36,34,100,,
JOSHI,36,20,70,,
JOSHI,36,25,40,,
JOSHI,36,47,250,,
JOSHI,36,55,1000,,
JOSHI,36,34,20,,
JOSHI,36,45,50,,
JOSHI,36,45,20,,
JOSHI,36,35,50,,
JOSHI,36,45,170,,
JOSHI,36,21,450,,
UMHL,43,34,407,,
UMHL,43,29,93,,
SRBL,33,14,640,,
SRBL,52,14,360,,
GMFIL,50,57,200,,
UIC,38,13,167,,
UIC,38,1,200,,
UIC,38,17,63,,
UIC,38,38,70,,
NIFRA,46,8,45,,
NIFRA,26,8,55,,
NGPL,57,56,20,,
HGI,4,42,251,,
LEC,40,3,10,,
AHPC,53,17,57,,
AHPC,39,17,43,,
NABIL,53,49,385,,
NABIL,32,49,527,,
SINDU,36,47,245,,
SINDU,36,45,35,,
SINDU,36,36,500,,
SINDU,36,45,120,,
SINDU,36,34,100,,
SRBL,52,51,140,,
CZBIL,13,26,100,,
LUK,19,44,100,,
LLBS,45,54,36,,
SLI,55,29,10,,
SLI,55,28,10,,
LEC,40,55,10,,
NLICL,49,33,200,,
NLICL,49,45,50,,
AHPC,43,6,100,,
HIDCL,17,47,65,,
HIDCL,1,47,55,,
