As of 2022-01-16,1,2,3,4,5
GBLBS,58,45,100,,
UIC,32,5,290,,
GBLBS,58,48,10,,
GBLBS,58,57,500,,
GBLBS,58,42,15,,
GBLBS,58,14,100,,
GBLBS,58,34,100,,
GBLBS,58,59,10,,
GBLBS,58,43,35,,
GBLBS,58,16,10,,
GBLBS,58,11,50,,
GBLBS,58,17,50,,
GBLBS,58,49,20,,
GBLBS,58,48,25,,
GBLBS,58,21,15,,
GBLBS,58,42,50,,
GBLBS,58,35,300,,
GBLBS,58,38,25,,
GBLBS,58,58,20,,
GBLBS,58,34,50,,
GBLBS,58,56,10,,
GBLBS,58,34,20,,
GBLBS,58,49,15,,
GBLBS,58,54,100,,
GBLBS,58,34,1000,,
GBLBS,58,10,50,,
GBLBS,58,47,10,,
GBLBS,58,38,30,,
GBLBS,58,33,1000,,
GBLBS,58,42,100,,
GBLBS,58,38,20,,
GBLBS,58,25,10,,
GBLBS,58,55,100,,
GBLBS,58,59,100,,
GBLBS,58,49,250,,
GBLBS,58,42,300,,
GBLBS,58,26,100,,
GBLBS,58,36,200,,
GBLBS,58,26,20,,
GBLBS,58,49,75,,
NGPL,58,16,10,,
NGPL,58,14,40,,
GBLBS,58,39,100,,
JBBL,58,40,200,,
PMHPL,19,25,40,,
NICL,14,28,20,,
API,41,10,31,,
MBL,28,45,150,,
API,41,35,200,,
API,41,35,10,,
API,41,53,283,,
API,41,32,200,,
API,41,6,200,,
API,41,42,100,,
API,41,49,250,,
API,41,33,1000,,
API,41,44,1900,,
API,41,26,100,,
API,41,51,50,,
API,41,58,40,,
API,41,51,30,,
API,41,21,400,,
API,41,17,23,,
API,41,48,22,,
JFL,39,50,18,,
API,41,58,50,,
API,41,47,111,,
SAHAS,56,57,10,,
NGPL,14,40,50,,
UPPER,47,38,186,,
UPPER,6,38,130,,
UPPER,48,38,184,,
ICFC,38,49,300,,
AKPL,8,58,15,,
AKJCL,38,21,10,,
AKJCL,58,21,90,,
JBLB,50,55,40,,
JBLB,50,58,10,,
UNHPL,51,40,65,,
JSLBB,42,14,15,,
UNHPL,51,16,25,,
JSLBB,58,14,10,,
ICFC,34,49,200,,
AKPL,17,34,500,,
HDL,45,35,10,,
HDL,16,35,40,,
HDL,16,45,10,,
RSDC,28,17,90,,
CCBL,14,42,50,,
CCBL,14,57,40,,
RSDC,21,17,100,,
RSDC,21,17,10,,
CBL,14,17,250,,
HIDCL,57,32,100,,
RMDC,42,32,250,,
RMDC,42,32,250,,
HGI,48,32,2364,,
RMDC,28,32,20,,
HGI,51,32,100,,
RMDC,1,32,30,,
HGI,29,32,500,,
RMDC,37,32,50,,
HGI,42,32,260,,
RMDC,32,32,150,,
HGI,26,32,85,,
HPPL,26,16,10,,
HDL,4,45,10,,
GBIME,25,16,1230,,
SANIMA,38,21,10,,
AHPC,21,38,123,,
AHPC,21,29,50,,
JFL,32,50,100,,
AHPC,21,41,50,,
JFL,17,50,100,,
AHPC,21,11,77,,
JFL,35,50,36,,
JFL,58,50,11,,
JFL,58,50,35,,
GUFL,50,34,120,,
MFIL,35,59,10,,
GLH,58,50,180,,
GLH,58,34,10,,
GLH,58,29,10,,
GLH,58,34,100,,
GLH,58,41,10,,
GLH,58,21,10,,
GLH,58,14,10,,
GLH,58,13,100,,
GLH,58,34,20,,
JFL,58,45,100,,
GLH,58,29,50,,
JFL,58,54,50,,
GLH,58,38,10,,
JFL,58,28,15,,
GLH,58,14,490,,
MKJC,14,34,190,,
MLBL,58,45,10,,
UPPER,37,55,500,,
UPPER,11,55,420,,
BARUN,28,28,300,,
SHEL,14,13,160,,
SHEL,28,13,40,,
HURJA,34,19,10,,
HURJA,34,10,50,,
SHPC,7,41,10,,
AHPC,42,48,100,,
AHPC,33,48,200,,
AHPC,52,48,200,,
HGI,10,34,10,,
API,18,47,89,,
API,18,6,111,,
GBIME,21,16,100,,
PROFL,17,42,90,,
RLFL,42,44,65,,
RLFL,42,57,285,,
RLFL,42,29,50,,
PIC,58,36,500,,
MFIL,42,36,2000,,
HDL,17,56,20,,
NHDL,14,22,689,,
MLBSL,19,37,12,,
MKJC,58,34,200,,
NLG,58,41,50,,
BFC,41,42,100,,
UMHL,38,51,100,,
KSBBL,54,48,80,,
AHPC,47,11,223,,
KRBL,45,54,230,,
AHPC,47,34,277,,
KRBL,45,3,25,,
KRBL,45,49,200,,
NYADI,35,35,175,,
NHPC,47,35,100,,
KRBL,45,49,50,,
NYADI,19,35,25,,
KRBL,45,45,200,,
KRBL,45,14,179,,
UMRH,49,38,10,,
KRBL,45,1,25,,
SPC,45,49,330,,
KRBL,45,57,100,,
KRBL,45,39,85,,
KRBL,45,39,20,,
KRBL,45,38,100,,
KRBL,45,48,300,,
KRBL,45,45,140,,
KRBL,45,36,1000,,
KRBL,45,41,10,,
KRBL,45,13,50,,
KRBL,45,54,250,,
KRBL,45,22,800,,
KRBL,45,20,150,,
