  12:04:01,1,2,3,4,5
HIDCL,55,58,65,,
SPC,53,14,10,,
AHPC,52,56,1000,,
SJCL,49,19,380,,
SJCL,25,19,500,,
SJCL,34,19,90,,
SJCL,35,19,20,,
SJCL,29,19,10,,
DDBL,41,41,83,,
NLIC,14,36,57,,
LEC,8,55,30,,
HIDCL,25,32,802,,
HIDCL,25,39,198,,
NTC,44,19,39,,
NTC,44,41,150,,
UMHL,28,52,100,,
UMHL,58,52,130,,
MBJC,10,58,10,,
NYADI,8,58,10,,
MBJC,10,26,10,,
SICL,26,36,33,,
NIFRA,28,34,25,,
HDL,20,3,20,,
SHPC,50,55,220,,
HDHPC,13,21,10,,
KBL,34,58,50,,
NGPL,41,17,100,,
SPDL,33,49,50,,
NICLBSL,58,1,15,,
MBJC,10,45,10,,
JOSHI,33,38,300,,
JOSHI,50,38,50,,
JOSHI,32,38,50,,
JOSHI,56,38,200,,
HIDCL,20,32,20,,
SJCL,29,45,90,,
RADHI,38,45,15,,
RADHI,44,45,72,,
MBJC,10,45,10,,
RADHI,45,45,50,,
HIDCL,54,32,10,,
HIDCL,54,1,20,,
MBJC,10,52,10,,
UMHL,58,58,50,,
GHL,29,34,4000,,
MBJC,10,16,10,,
NABIL,42,28,10,,
NABIL,58,28,20,,
NABIL,47,28,250,,
NABIL,35,28,10,,
NABIL,33,28,100,,
NABIL,13,28,20,,
NABIL,22,28,11,,
NHDL,59,19,60,,
MBJC,10,38,10,,
TPC,13,6,10,,
API,35,57,322,,
API,33,57,178,,
KKHC,57,22,90,,
GFCL,47,53,10,,
KSBBL,55,3,24,,
ULI,49,57,10,,
MBJC,10,38,10,,
NHDL,29,38,65,,
SICL,26,58,17,,
MBJC,10,58,10,,
SICL,40,58,50,,
MEGA,19,4,837,,
MEGA,19,4,163,,
NIFRA,42,28,400,,
NIFRA,42,19,100,,
JLI,10,49,10,,
RSDC,17,45,91,,
RSDC,34,45,50,,
RSDC,46,45,10,,
RSDC,28,45,30,,
RSDC,7,45,24,,
RLFL,32,45,494,,
MBJC,10,45,10,,
RLFL,45,45,16,,
RLFL,58,45,30,,
LBBL,4,58,100,,
LBBL,14,58,50,,
LBBL,57,58,50,,
PMHPL,59,52,857,,
LBBL,25,58,125,,
LBBL,25,58,125,,
PMHPL,50,52,60,,
LBBL,39,58,354,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,10,,
PMHPL,57,52,33,,
MBJC,10,6,10,,
GLH,58,21,10,,
UMHL,57,34,20,,
UMHL,57,3,30,,
MBJC,10,49,10,,
NICL,34,1,24,,
KSBBL,29,45,120,,
KSBBL,29,45,280,,
GLH,58,55,10,,
